block_size,tokens_per_step,problem_idx,tier,n_tokens,stop,repeat4,boxed,correct,progress,redundancy,coverage
16,8,38,hard,768,collapse,0.9016620498614958,0,0,-0.6546536707079772,0.0,0.363658354409106
16,8,39,hard,768,budget,0.0,0,0,-0.028571428571428574,0.05112408938383351,0.565243718969624
16,16,0,easy,48,eos,0.4642857142857143,0,0,-0.23190841426097938,0.3732818290355923,0.22402136442755222
16,16,1,easy,768,budget,0.8483965014577259,0,0,-0.3714285714285715,0.9290415213885344,0.2518897610191941
16,16,2,easy,432,collapse,0.9014423076923077,0,0,-0.16903085094570333,0.9626866055092137,0.16391398271945967
16,16,3,easy,192,collapse,0.9032258064516129,0,0,-0.6546536707079772,0.0,0.24504746952652823
16,16,4,easy,768,budget,0.0,0,0,nan,nan,nan
16,16,5,easy,304,collapse,0.901060070671378,0,0,0.0,0.9783343613015971,0.07625408559956529
16,16,6,easy,48,eos,0.8,0,0,-0.6546536707079772,0.759459035138887,0.23733645753139887
16,16,7,easy,288,collapse,0.9049295774647887,0,0,-0.6546536707079772,0.0,0.4350450771171083
16,16,8,easy,768,budget,0.33333333333333337,0,0,0.23190841426097938,0.21311074279764847,0.2149535043785139
16,16,9,easy,512,collapse,0.9014675052410901,0,0,-0.6546536707079772,0.9877479026726969,0.18307178977712052
16,16,10,easy,768,budget,0.49295774647887325,0,0,-0.753702346348183,0.34631842152566417,0.07681151897306687
16,16,11,easy,768,budget,0.7241379310344828,0,0,-0.7775419143502353,0.018977731856359047,0.2193693132408271
16,16,12,easy,208,collapse,0.907608695652174,0,0,-0.6546536707079772,0.640457048541388,0.13395078577691594
16,16,13,easy,176,collapse,0.9074074074074074,0,0,0.0,0.9744431088444939,0.13408281857669066
16,16,14,easy,48,eos,0.5945945945945945,0,0,0.3825184261187248,0.5455783512820765,0.2286178793183855
16,16,15,easy,176,collapse,0.9085365853658537,0,0,-0.16903085094570333,0.9681039448441707,0.24717354834141203
16,16,16,easy,768,budget,0.7068965517241379,0,0,-0.8451542547285166,0.6078472763246829,0.015101850298095172
16,16,17,easy,400,collapse,0.9002624671916011,0,0,-0.6546536707079772,0.0,0.47579067479275705
16,16,18,easy,768,budget,0.26530612244897955,0,0,-0.9856107606091623,0.06770276430840921,0.2872170047396249
16,16,19,easy,768,budget,0.0,0,0,-0.942857142857143,0.013978043259963543,0.3593071055839735
16,16,20,medium,320,collapse,0.9003215434083601,0,0,-0.6546536707079772,0.0,0.3928483024824086
16,16,21,medium,128,collapse,0.9411764705882353,0,0,-0.6546536707079772,0.0,0.060810772756984405
16,16,22,medium,80,eos,0.7068965517241379,0,0,0.16903085094570333,0.7497106441156743,0.25792928929383324
16,16,23,medium,128,collapse,0.9098360655737705,0,0,-0.6546536707079772,0.0,0.11394326640892033
16,16,24,medium,768,budget,0.0,0,0,-0.7247137945655605,0.01205543344688421,0.24627072819932377
16,16,25,medium,400,collapse,0.9010416666666666,0,0,0.08571428571428573,0.9862524048156303,0.1834099712344461
16,16,26,medium,128,collapse,0.9032258064516129,0,0,-0.6546536707079772,0.0,0.19166568840820264
16,16,27,medium,48,eos,0.6756756756756757,0,0,0.3825184261187248,0.6409794435133043,0.18063964720256806
16,16,28,medium,208,collapse,0.906832298136646,0,0,-0.6546536707079772,0.0,0.13594790756173059
16,16,29,medium,304,collapse,0.9049295774647887,0,0,-0.6546536707079772,0.0,0.4590442689798647
16,16,30,hard,768,budget,0.33766233766233766,0,0,-0.8804062740424288,0.2533722687795185,0.09257983150196057
16,16,31,hard,384,collapse,0.9003115264797508,0,0,-0.6546536707079772,0.9841942030427103,0.011475580298587414
16,16,32,hard,768,budget,0.0,0,0,nan,nan,nan
16,16,33,hard,768,budget,0.5731707317073171,0,0,-0.6982532518267538,0.32623230229081623,0.20031619907913403
16,16,34,hard,128,collapse,0.9032258064516129,0,0,-0.6546536707079772,0.0,0.37667122503464745
16,16,35,hard,768,budget,0.5344827586206897,0,0,-0.6546536707079772,0.8469659727114319,0.030480451734807276
16,16,36,hard,128,collapse,0.9186991869918699,0,0,-0.6546536707079772,0.0,0.2186304763257544
16,16,37,hard,160,collapse,0.9038461538461539,0,0,0.0,0.8093263260680373,0.25347714774211727
16,16,38,hard,768,budget,0.5272727272727273,0,0,0.3825184261187248,0.6470978989702711,0.17326481690578643
16,16,39,hard,768,budget,0.6612903225806452,0,0,-0.8451542547285166,0.48578292255782274,0.06845964571009533
32,1,0,easy,768,budget,0.08582089552238803,0,0,-0.7714285714285715,0.2642001855145874,0.5997875465431506
32,1,1,easy,416,box,0.1393034825870647,1,1,-0.7142857142857143,0.37822874908472437,0.6876649507791968
32,1,2,easy,512,box,0.14022140221402213,1,1,0.2,0.2527455875276662,0.5649052997747844
32,1,3,easy,608,box,0.2273838630806846,1,1,-0.4285714285714286,0.20020587525200284,0.32642536989073856
32,1,4,easy,320,box,0.11971830985915488,1,1,0.08571428571428573,0.19160030248953816,0.6039880383032425
32,1,5,easy,768,budget,0.3061797752808989,0,0,0.8857142857142858,0.31421544835054943,0.40840574440590693
32,1,6,easy,768,budget,0.21212121212121215,0,0,-0.6,0.2498893591693174,0.4642484496012566
32,1,7,easy,384,box,0.028436018957345932,1,0,-0.6571428571428573,0.21214210767363487,0.43074128647205784
32,1,8,easy,288,box,0.11728395061728392,1,0,-0.14285714285714288,0.17343148882111997,0.492614070294209
32,1,9,easy,512,box,0.05797101449275366,1,0,0.5428571428571429,0.18158775418402304,0.46512080619738017
32,1,10,easy,384,box,0.2836879432624113,1,0,-0.14285714285714288,0.391953525820394,0.4172896661398934
32,1,11,easy,192,box,0.025316455696202556,1,1,0.08571428571428573,0.10648480651068869,0.38188119336304305
32,1,12,easy,416,box,0.05284552845528456,1,1,-0.7714285714285715,0.143753480490772,0.4973745867142865
32,1,13,easy,416,box,0.14204545454545459,1,1,0.7714285714285715,0.11882788204457707,0.38226441039713044
32,1,14,easy,352,box,0.16800000000000004,1,1,0.08571428571428573,0.23013701033683534,0.5810623354900312
32,1,15,easy,320,box,0.1573033707865169,1,0,-0.2571428571428572,0.3403680568841497,0.3920138528223324
32,1,16,easy,192,box,0.0,1,1,0.028571428571428574,0.11134996958373854,0.471328084994776
32,1,17,easy,224,box,0.12244897959183676,1,1,0.2,0.19514465885970278,0.5456311498318266
32,1,18,easy,640,box,0.16425120772946855,1,1,0.2,0.17128455606574905,0.5384748062173227
32,1,19,easy,768,budget,0.32104121475054226,0,0,-0.942857142857143,0.3980366826449154,0.3535823093942842
32,1,20,medium,704,box,0.11204481792717091,1,1,-0.4285714285714286,0.35250270477478446,0.43772974789209906
32,1,21,medium,768,budget,0.06544502617801051,0,0,-0.48571428571428577,0.2269212887809503,0.3374029129408941
32,1,22,medium,416,box,0.15702479338842978,1,0,-0.2571428571428572,0.1828556935589169,0.46018095784818047
32,1,23,medium,608,box,0.12101910828025475,1,0,0.3142857142857143,0.2383281547184852,0.33571605208834376
32,1,24,medium,640,box,0.12040133779264217,1,0,-0.5428571428571429,0.26580220927200826,0.2623038195962817
32,1,25,medium,768,box,0.2605210420841684,1,1,0.2,0.2279969666403837,0.45781213082243166
32,1,26,medium,768,box,0.07862407862407861,1,0,0.3142857142857143,0.24310986727228343,0.3570730032158614
32,1,27,medium,768,budget,0.07235142118863047,0,0,-0.3142857142857143,0.22556907197076229,0.4539567820459622
32,1,28,medium,768,budget,0.01904761904761909,0,0,-0.6,0.20346783529427726,0.43752976749455547
32,1,29,medium,768,budget,0.19956140350877194,0,0,-0.4285714285714286,0.1984496252964588,0.45137971899866164
32,1,30,hard,768,budget,0.3795620437956204,0,0,0.08571428571428573,0.34057506804760956,0.5208222694331551
32,1,31,hard,768,budget,0.06451612903225812,0,0,-0.942857142857143,0.24919478962626626,0.4758662572229627
32,1,32,hard,416,box,0.2441860465116279,1,1,0.2571428571428572,0.30954410333508897,0.4735225093776302
32,1,33,hard,672,box,0.17099567099567103,1,0,-0.028571428571428574,0.29460685133487124,0.4873062488893066
32,1,34,hard,480,box,0.241635687732342,1,0,-0.3714285714285715,0.25905602190384847,0.47764960005042645
32,1,35,hard,352,eos,0.21621621621621623,0,0,0.6571428571428573,0.22679916895921934,0.2889351413454046
32,1,36,hard,768,box,0.16556291390728473,1,0,-0.2571428571428572,0.2873221278994861,0.28423289077504793
32,1,37,hard,704,box,0.2060185185185185,1,1,-0.08571428571428573,0.3076945696735515,0.6637838478947634
32,1,38,hard,768,budget,0.19310344827586212,0,0,-0.7714285714285715,0.31969517255058616,0.16473726615501513
32,1,39,hard,768,budget,0.4787644787644788,0,0,0.14285714285714288,0.7321001770323716,0.418360949160927
32,2,0,easy,768,budget,0.15873015873015872,0,0,-0.8285714285714287,0.22749711261340747,0.4828144001244222
32,2,1,easy,416,box,0.1116751269035533,1,1,-0.5428571428571429,0.3405185267123708,0.665522608231638
32,2,2,easy,480,box,0.12643678160919536,1,1,0.2,0.22253991371631596,0.5443704316286618
32,2,3,easy,544,box,0.15258855585831066,1,1,-0.2571428571428572,0.15425084866906144,0.3749663558398531
32,2,4,easy,768,budget,0.07749077490774903,0,0,0.08571428571428573,0.3310127688267463,0.5044754558540286
32,2,5,easy,768,budget,0.1826625386996904,0,0,-1.0,0.2716343475231825,0.22657667562714348
